p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.13466714927966	0.999	0.487	0	0	SFRP1
0	2.63872566539081	0.762	0.094	0	0	RAB17
0	2.2505761034989	0.998	0.394	0	0	USP44
0	1.86823752949074	0.996	0.505	0	0	MIR302CHG
0	1.70093321715612	0.981	0.633	0	0	NQO2
0	1.66199033807116	0.912	0.506	0	0	AASS
0	1.60019216362891	0.969	0.527	0	0	BEX2
0	1.57721735888183	0.933	0.375	0	0	FGFBP3
0	1.55620249355163	0.975	0.469	0	0	BEX1
0	1.5517171344396	0.693	0.143	0	0	HAPLN3
0	1.53418176651673	0.996	0.407	0	0	SOX2
0	1.4871742718609	0.999	0.997	0	0	MT-ATP6
0	1.48515809712118	0.916	0.436	0	0	FGF2
0	1.47322851994179	0.994	0.721	0	0	PSAT1
0	1.42852457305689	0.921	0.355	0	0	KIF1A
0	1.41853727959984	0.999	0.887	0	0	RPL22L1
0	1.38231855643234	0.976	0.445	0	0	LINC00678
0	1.366395127045	0.978	0.557	0	0	PCLAF
0	1.30822963527123	0.984	0.702	0	0	MFGE8
0	1.2899229336291	0.999	0.545	0	0	TDGF1
0	1.25801634298464	0.997	0.746	0	0	CTSC
0	1.10264230234474	1	0.942	0	0	DANCR
0	1.09589961016097	1	0.959	0	0	SNRPN
0	0.995874602122671	0.999	0.997	0	0	MT-CYB
0	0.995197572283118	1	0.787	0	0	UCHL1
0	0.955680084033331	1	0.918	0	0	MGST1
0	0.943565278572439	1	0.896	0	0	EIF4EBP1
0	0.886941326939835	1	0.948	0	0	MDH1
0	0.865712790546572	1	0.992	0	0	H2AFZ
0	0.808661536196149	1	0.94	0	0	HMGN3
0	0.697546931155312	1	0.995	0	0	LDHB
7.50599627993272e-305	1.21072789245082	0.969	0.593	1.76713670418456e-300	0	SEC11C
3.53556039395774e-297	0.798154547891953	1	1	8.32376983549471e-293	0	MT-CO3
1.47796518097465e-296	0.985976669958006	1	0.891	3.47957342556861e-292	0	UGP2
1.3594581313029e-295	1.24215051174785	0.991	0.616	3.20057227852642e-291	0	DNMT3B
4.15636305323032e-292	1.41199768340301	0.838	0.29	9.78532553622014e-288	0	TUBA4A
1.9903694534908e-290	1.53598523733653	0.765	0.237	4.6859268043534e-286	0	TNNI3
3.45425282649336e-284	0.817656640500591	0.999	0.937	8.13234742941331e-280	0	HNRNPAB
5.63436836237662e-284	0.724558874522354	1	0.968	1.32649934355433e-279	0	MRPS34
7.95111684888802e-282	1.18191378637965	0.964	0.662	1.87193143973371e-277	0	SLC1A5
4.0629449206659e-281	0.738896118972482	1	1	9.56539122672374e-277	0	MT-CO2
5.27010463048594e-281	1.49541016848623	0.65	0.138	1.24074073315531e-276	0	PSMB8
9.02959307027242e-280	1.57126710394266	0.759	0.249	2.12583709653424e-275	0	FZD7
1.05270207821191e-279	1.21255244527084	0.991	0.736	2.47837650273429e-275	0	GAL
3.70082317942544e-279	0.870079417831409	0.997	0.862	8.71284801132131e-275	0	EEF1E1
3.68002736676348e-278	0.670620427387727	1	0.995	8.66388842957127e-274	0	APOE
3.53523476630712e-277	0.980600783385503	0.994	0.797	8.32300321031686e-273	0	TARS
1.42097813800899e-274	0.826871227972932	0.994	0.912	3.34540883031456e-270	0	CYBA
9.03370258002335e-271	1.2532571867728	0.96	0.46	2.1268045984149e-266	0	CNMD
1.13757501233203e-270	0.574652095829968	1	0.993	2.67819285153329e-266	0	PSMA7
6.9308272280732e-270	1.01803156240088	0.986	0.727	1.63172465430527e-265	0	ISOC2
2.59135320153354e-268	1.41341702072617	0.812	0.322	6.10082284237041e-264	0	PCK2
2.07661602605163e-267	0.646953236235919	1	0.994	4.88897711013336e-263	0	HSPD1
6.93729999321269e-267	0.874690322455822	0.994	0.844	1.63324853740206e-262	0	DMKN
1.4673590427498e-263	0.456778132308825	1	1	3.45460339434585e-259	0	NPM1
7.55684110394153e-263	0.787078906398837	1	0.949	1.77910710110095e-258	0	SRSF3
1.78358108245976e-260	1.50366287544032	0.77	0.279	4.19908494243502e-256	0	PMEL
3.99982188891475e-260	1.17238305790053	0.993	0.495	9.416780673072e-256	0	POLR3G
5.9312009289719e-259	1.57393082281733	0.398	0.016	1.39638263470785e-254	0	PLA2G4C
4.78266018160223e-256	1.51568290387904	0.498	0.064	1.12598168655461e-251	0	IDO1
4.55962324550996e-254	0.824537463867076	0.997	0.902	1.07347210069041e-249	0	PHGDH
1.20307632692933e-252	1.56456216630654	0.486	0.061	2.83240259648972e-248	0	HESX1
2.08271249645143e-250	1.44846642340926	0.696	0.206	4.90333003039561e-246	0	RASGRP2
5.90410590437171e-249	0.651778132581583	1	0.976	1.39000365306623e-244	0	SSB
6.00781261889562e-248	1.54830722112998	0.455	0.048	1.4144193248666e-243	0	ATP1A2
1.88624471546836e-247	1.07570188818782	1	0.887	4.44078593362717e-243	0	TERF1
2.09551916910919e-247	1.37655384838464	0.702	0.209	4.93348077983377e-243	0	TCEAL2
2.38169804547263e-247	1.25571859598639	0.906	0.521	5.60723170845621e-243	0	JADE1
1.77218525871559e-246	0.645352318565287	0.999	0.963	4.17225575459412e-242	0	EID1
1.64273520775279e-245	0.832057009229525	1	0.92	3.86749149961239e-241	0	PSIP1
3.74423435616844e-245	0.762201725800195	0.999	0.907	8.81505094472735e-241	0	NME1
1.24553990378047e-244	1.49390032268336	0.653	0.188	2.93237459547037e-240	0	CCN2
3.88904448774154e-241	1.38915386752912	0.571	0.119	9.15597743748991e-237	0	CADM2
1.80689026024999e-236	1.09678295770967	0.945	0.484	4.25396173970656e-232	0	MAL2
1.28542158600693e-235	0.639770474064637	0.999	0.969	3.02626803993613e-231	0	SSBP1
1.79872308277945e-235	0.528769647292752	1	0.999	4.23473375378765e-231	0	RAN
6.51596724734248e-235	2.30460378564271	0.412	0.036	1.53405416904184e-230	0	TRDN
9.64945390685873e-235	1.38313844247066	0.825	0.338	2.27177093329175e-230	0	AC009446.1
1.00511337139266e-234	0.768868535159036	0.996	0.979	2.36633841026975e-230	0	MT-ND1
3.14871462967411e-234	0.72648049055364	0.998	0.913	7.41301885264176e-230	0	SIVA1
3.80113801167163e-234	1.42849624070512	0.583	0.135	8.94901922087852e-230	0	TCF15
2.49889854055981e-233	0.683172737217197	1	0.971	5.88315683403995e-229	0	C1QBP
5.28088978863421e-230	1.57065925627168	0.433	0.048	1.24327988293815e-225	0	CHGA
7.40620021491777e-230	0.846231219083494	0.992	0.839	1.74364171659809e-225	0	SLTM
1.28739200123624e-229	1.29426577989921	0.631	0.168	3.03090698851048e-225	0	SMPDL3B
1.00717167744539e-224	0.677290460297868	1	0.926	2.37118428020968e-220	0	CD24
1.15391598788007e-221	0.976598262919349	0.973	0.681	2.71666441026606e-217	0	LYAR
2.26096592963309e-220	1.10659061560158	0.871	0.401	5.32299208813517e-216	0	GNG4
1.11106994395246e-219	0.563217109209879	1	0.996	2.61579196904727e-215	0	HNRNPA2B1
3.95851591603065e-217	1.40112067807432	0.545	0.12	9.31953402111097e-213	0	AL591030.1
2.65932690676655e-216	1.27512726187844	0.848	0.417	6.2608533366005e-212	0	GPC4
6.2931133489552e-216	0.963759370379226	0.963	0.671	1.48158767574452e-211	0	GPATCH4
8.15318675058462e-216	0.433354236119468	1	0.999	1.91950475669014e-211	0	YBX1
3.62826020615399e-215	0.683580639149054	0.999	0.936	8.54201300334833e-211	0	TOMM5
1.45242933265152e-214	1.15363086371829	0.822	0.365	3.41945437786148e-210	0	GRTP1
7.36409678163595e-214	0.559374855637027	0.999	0.975	1.73372930530055e-209	0	SUMO1
1.0762721327889e-213	0.474539019315557	1	1	2.53386748222491e-209	0	HSP90AB1
2.0196917894865e-212	0.853914881177491	0.983	0.792	4.75496037998807e-208	0	SS18L2
7.99014417363362e-211	0.594851925226859	1	0.971	1.88111964279856e-206	0	PRMT1
3.57138355476805e-210	0.867785120899845	0.975	0.735	8.40810830299041e-206	0	NTHL1
6.22117868542645e-210	0.649654190948281	1	0.987	1.46465209790995e-205	0	PEBP1
1.16305134051773e-206	0.529750036801887	1	0.998	2.73817177098089e-202	0	HMGB1
7.88672947779237e-206	0.894676108947409	0.967	0.631	1.85677272095666e-201	0	PODXL
1.83873980274778e-204	0.969544780293198	0.926	0.399	4.32894511760909e-200	0	PTPRZ1
2.56637432927839e-204	0.816283190090714	0.998	0.872	6.0420150834201e-200	0	SFPQ
3.99934077597966e-204	0.72295879453389	0.998	0.884	9.41564798888892e-200	0	HSPA9
7.85003152768542e-204	0.854434566932339	0.978	0.744	1.84813292256298e-199	0	HLA-A
5.36501258979761e-203	1.15538131173767	0.728	0.263	1.26308491401605e-198	0	PPP2R2B
2.13577983310254e-202	0.950061943655157	0.996	0.533	5.02826646107332e-198	0	ESRG
2.37731320679967e-202	0.467143354990373	1	0.988	5.59690848276845e-198	0	SUB1
6.11576352060585e-202	0.588813935565354	1	0.973	1.43983420565624e-197	0	CCT2
1.9099622831531e-201	1.08987809798209	0.895	0.457	4.49662420322734e-197	0	VSNL1
4.71394061392725e-201	0.797485673597673	0.991	0.762	1.10980303873689e-196	0	OCIAD2
1.15780634303838e-196	0.608869361097905	1	0.99	2.72582347341526e-192	0	BEX3
1.40875686836053e-193	0.973098566252139	0.875	0.435	3.31663629518121e-189	0	VRTN
2.18729360269034e-191	0.594975205586388	0.998	0.954	5.14954532881386e-187	0	PSMD7
5.62577320499889e-191	0.876221344052568	0.97	0.663	1.32447578565289e-186	0	PAK1IP1
1.64799654048166e-190	0.633038183905311	0.999	0.925	3.87987825525597e-186	0	CACYBP
1.76735229313548e-190	0.59012127469994	0.999	0.953	4.16087750372886e-186	0	CUTA
1.19844632344445e-189	0.608186406877692	1	0.977	2.82150217928528e-185	0	NASP
1.63461803430295e-189	1.10507680549973	0.877	0.454	3.84838123815944e-185	0	PLPP2
4.2090861465347e-188	1.12334088894812	0.813	0.386	9.90945151478665e-184	0	NLGN4X
8.6588220084751e-188	0.56233402804835	0.999	0.959	2.03854646545529e-183	0	GCSH
2.32394869567223e-187	0.675879213104754	0.995	0.874	5.47127241422114e-183	0	ECHS1
3.59828141023541e-187	1.04512890835518	0.872	0.506	8.47143392411723e-183	0	SORD
3.64936163700578e-186	0.721469426247925	0.994	0.85	8.59169210200272e-182	0	PAFAH1B3
2.51347817389363e-185	0.735381515058317	0.993	0.858	5.91748166479778e-181	0	RAC3
9.20804196401979e-185	0.77177498574305	0.993	0.821	2.16784931958918e-180	0	PAWR
2.55719758053302e-184	0.499563689084001	1	0.982	6.02041026384889e-180	0	COX5A
4.11314353690929e-184	0.769854356213918	0.987	0.776	9.68357382894553e-180	0	THYN1
8.7131232834127e-183	1.11258286498902	0.654	0.234	2.05133061461385e-178	0	IFI30
1.14391420842588e-182	0.746614062814746	0.986	0.822	2.69311722089704e-178	0	FAM136A
3.66060281400476e-182	1.11473110117497	0.292	0.011	8.6181572050114e-178	0	BTBD17
1.04325339333158e-181	0.665749612629724	0.996	0.89	2.45613146392053e-177	0	MRPS6
1.43259834153628e-181	0.895579041616066	0.931	0.588	3.37276627547887e-177	0	CENPU
3.60034323928919e-181	0.725303072214666	1	0.869	8.47628808825854e-177	0	L1TD1
3.82674927703633e-181	0.796566057483782	0.98	0.726	9.00931582292662e-177	0	C20orf27
2.70684733451549e-180	1.27863555861273	0.579	0.167	6.37273067964983e-176	0	APELA
1.33855743059785e-179	0.801420695403313	0.973	0.721	3.15136575885653e-175	0	POLR3K
1.87950243821216e-179	0.639007703419577	1	0.982	4.4249125902829e-175	0	NCL
2.05524569365472e-179	0.687333204354875	0.987	0.879	4.83866493657131e-175	0	SLC39A1
2.25159268610421e-179	0.64576512265764	0.999	0.918	5.30092466089514e-175	0	SRSF2
8.41520184214638e-179	0.867426964016781	0.983	0.691	1.98119096969652e-174	0	CBR1
1.01213067228244e-178	0.695033477614049	0.996	0.859	2.38285924175454e-174	0	IMP3
2.79321907395959e-178	0.465586316797771	1	0.994	6.57607566582307e-174	0	MARCKSL1
6.97139496710703e-178	0.999058362930096	0.826	0.438	1.64127551710601e-173	0	MLF1
1.75468837021933e-176	1.09699875226231	0.555	0.155	4.13106283000737e-172	0	LCK
1.95431101020531e-176	1.03586138186052	0.776	0.357	4.60103441132636e-172	0	RFLNB
2.03851065736723e-176	1.05432877466964	0.794	0.364	4.79926564063967e-172	0	SNHG4
6.22193851532951e-176	0.879869526676201	0.93	0.631	1.46483098466403e-171	0	AGPAT5
8.77344850489178e-176	1.03492747707416	0.832	0.462	2.06553298150667e-171	0	CARS
8.79317182218388e-176	1.26010092191971	0.589	0.184	2.07017644209675e-171	0	POU3F1
1.015831900288e-175	0.75459077881901	0.979	0.811	2.39157304284804e-171	0	GARS
2.49516202883043e-175	0.757703955611563	0.988	0.805	5.87435996447547e-171	0	DKC1
7.02249367867178e-175	0.558877927939791	0.999	0.94	1.6533056867697e-170	0	TXNL4A
8.60214064443115e-174	0.861055498604388	0.958	0.724	2.02520197191843e-169	0	NR6A1
1.20912063509086e-172	0.632397794083016	0.877	0.465	2.84663271119441e-168	0	CLDN10
1.73989766657575e-172	0.837795608121757	0.972	0.653	4.09624107641929e-168	0	SLC25A4
5.85275527118822e-172	0.343760414651159	1	0.999	1.37791417349584e-167	0	FTL
1.04999271859003e-171	0.701142307952724	0.987	0.829	2.47199785737651e-167	0	ADSL
3.55682801137294e-171	0.725144187712033	0.992	0.814	8.37384018717531e-167	0	TOMM40
5.11355592542818e-171	0.711839006233815	0.999	0.863	1.20388447152356e-166	0	DUT
1.0866273535257e-170	0.935464708710907	0.771	0.342	2.55824677840556e-166	0	SLC7A3
8.79677372816016e-170	0.661430296055635	0.997	0.894	2.07102443882075e-165	0	SYNCRIP
1.27079754337726e-169	0.909417825298123	0.967	0.724	2.99183865637308e-165	0	COTL1
4.02488413499255e-168	1.02641150327521	0.368	0.052	9.47578471901297e-164	0	JPH4
8.92600773830612e-168	0.897402866716429	0.902	0.563	2.10145000182941e-163	0	FKBP11
1.70750165994129e-167	0.377960283938918	1	0.997	4.01997115799978e-163	0	OAZ1
6.75364715779801e-167	1.27727615404248	0.546	0.168	1.59001115036039e-162	0	S100A4
1.02419248609427e-166	1.16516890487581	0.447	0.1	2.41125637001173e-162	0	PIPOX
1.20429173087899e-166	0.843029494493461	0.927	0.479	2.83526402200841e-162	0	CDCA7L
1.30431541175338e-166	0.915509423508539	0.853	0.481	3.07074977389099e-162	0	AC104461.1
3.0297990593255e-166	1.01752185772563	0.798	0.411	7.13305592537002e-162	0	ARG2
3.9870933311095e-166	0.408688922251996	1	0.999	9.38681382943109e-162	0	PRDX1
4.15668706099512e-165	0.555531425303759	1	0.98	9.78608834770081e-161	0	HSPE1
5.9786071464443e-165	0.743614475971455	0.989	0.83	1.40754348048738e-160	0	NOP56
7.76866367531898e-165	0.937987041168362	0.838	0.443	1.82897648908035e-160	0	CD3EAP
4.21772332066855e-164	0.608307540623785	0.999	0.948	9.92978601384997e-160	0	SRSF7
1.64715142153793e-163	0.650853871654845	0.993	0.859	3.87788859172676e-159	0	CENPX
8.66795734192107e-163	0.753905908427952	0.952	0.634	2.04069719700848e-158	0	TNNT1
2.22410133065952e-162	0.511813281632439	0.999	0.96	5.23620176277171e-158	0	PSMA3
3.14613389787572e-162	0.618961780914357	0.996	0.882	7.4069430357688e-158	0	MRPL34
3.99610229162903e-162	1.03066302461006	0.641	0.236	9.40802362518223e-158	0	OLFM1
1.85404213108592e-160	0.538156523856389	1	0.971	4.36497138921557e-156	0	RANBP1
3.35596183606995e-160	1.11037018544281	0.46	0.111	7.90094095065949e-156	0	LNCPRESS2
3.37734200511902e-160	0.664575653509566	0.991	0.841	7.9512762826517e-156	0	POP7
3.67314836795876e-160	1.08767470479424	0.456	0.109	8.6476932026853e-156	0	RBFOX3
1.6618753295185e-159	1.03184480022202	0.552	0.17	3.9125530882854e-155	0	FHL1
3.09842331334224e-159	1.04693977022481	0.344	0.046	7.29461800660163e-155	0	NIBAN1
5.05279077530989e-158	1.05342269267883	0.486	0.128	1.18957853223121e-153	0	TESC
1.06050925720915e-157	0.599097779360769	0.833	0.399	2.4967569442475e-153	0	TAGLN
1.1058918157992e-157	0.558042473089396	1	0.953	2.60360110193605e-153	0	RSL1D1
1.17402359759388e-156	0.402688277824282	1	0.989	2.76400375581527e-152	0	PSMA2
1.18037165823013e-156	1.0657443344094	0.367	0.059	2.77894899497119e-152	0	CCL26
