source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	louvain_group
KEGG	KEGG:00270	Cysteine and methionine metabolism	0.0013524579526887016	True	Cysteine and methionine metabolism	49	28	4	8161	0.14285714285714285	0.08163265306122448	query_1	['KEGG:00000']	0
GO:MF	GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors	0.005037137377825585	True	"""Catalysis of an oxidation-reduction (redox) reaction in which a diphenol or related substance acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor."" [GOC:ai]"	10	12	2	20139	0.16666666666666666	0.2	query_1	['GO:0016491']	0
GO:MF	GO:0031404	chloride ion binding	0.008480643101111148	True	"""Binding to a chloride ion (Cl-)."" [GOC:mah]"	14	11	2	20139	0.18181818181818182	0.14285714285714285	query_1	['GO:0043168']	0
GO:MF	GO:0008234	cysteine-type peptidase activity	0.0273693287936532	True	"""Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."" [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE]"	196	24	4	20139	0.16666666666666666	0.02040816326530612	query_1	['GO:0008233']	0
GO:BP	GO:0051402	neuron apoptotic process	8.483375884474761e-05	True	"""Any apoptotic process in a neuron, the basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system."" [CL:0000540, GOC:mtg_apoptosis]"	269	17	6	21010	0.35294117647058826	0.022304832713754646	query_1	['GO:0006915']	1
GO:CC	GO:0099160	postsynaptic intermediate filament cytoskeleton	0.00010801144648050782	True	"""The intermediate filament cytoskeleton that is part of a postsynapse."" [GOC:dos, PMID:25869803]"	4	7	2	22090	0.2857142857142857	0.5	query_1	['GO:0045111', 'GO:0099571']	1
GO:BP	GO:0033693	neurofilament bundle assembly	0.0005285382677165712	True	"""The assembly of neurofilaments into bundles, in which the filaments are longitudinally oriented, with numerous crossbridges between them. Neurofilament bundles may be cross-linked to each other, to membrane-bounded organelles or other cytoskeletal structures such as microtubules."" [PMID:11034913, PMID:11264295]"	3	7	2	21010	0.2857142857142857	0.6666666666666666	query_1	['GO:0045110']	1
GO:CC	GO:0099571	postsynaptic cytoskeleton	0.0008093525678808674	True	"""The portion of the cytoskeleton contained within the postsynapse."" [GOC:dos, PMID:19889835]"	10	7	2	22090	0.2857142857142857	0.2	query_1	['GO:0005856', 'GO:0098794']	1
GO:CC	GO:0005883	neurofilament	0.000989059393090108	True	"""A type of intermediate filament found in the core of neuronal axons. Neurofilaments are heteropolymers composed of three type IV polypeptides: NF-L, NF-M, and NF-H (for low, middle, and high molecular weight). Neurofilaments are responsible for the radial growth of an axon and determine axonal diameter."" [ISBN:0198506732, ISBN:0716731363, ISBN:0815316194]"	11	7	2	22090	0.2857142857142857	0.18181818181818182	query_1	['GO:0005737', 'GO:0005882']	1
GO:MF	GO:0005200	structural constituent of cytoskeleton	0.0032542398677521366	True	"""The action of a molecule that contributes to the structural integrity of a cytoskeletal structure."" [GOC:mah]"	113	8	3	20139	0.375	0.02654867256637168	query_1	['GO:0005198']	1
GO:BP	GO:0090200	positive regulation of release of cytochrome c from mitochondria	0.0048046709166605535	True	"""Any process that increases the rate, frequency or extent of release of cytochrome c from mitochondria, the process in which cytochrome c is enabled to move from the mitochondrial intermembrane space into the cytosol, which is an early step in apoptosis and leads to caspase activation."" [GOC:BHF, GOC:dph, GOC:mtg_apoptosis, GOC:tb]"	25	23	3	21010	0.13043478260869565	0.12	query_1	['GO:0001836', 'GO:0010822', 'GO:0090199']	1
GO:BP	GO:0045110	intermediate filament bundle assembly	0.004929111280282525	True	"""The formation of the bundles of intermediate filaments. Intermediate filament-associated proteins (IFAPs) cross-link intermediate filaments with one another, forming a bundle or a network, and with other cell structures, including the plasma membrane. The organization of intermediate filaments and their supportive function in various cells types depends in large part on their linkage to other cell structures via IFAPs."" [ISBN:0716731363]"	8	7	2	21010	0.2857142857142857	0.25	query_1	['GO:0022607', 'GO:0045109']	1
GO:BP	GO:0001666	response to hypoxia	0.022236848341691144	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:hjd]"	284	23	5	21010	0.21739130434782608	0.017605633802816902	query_1	['GO:0006950', 'GO:0036293']	1
GO:BP	GO:0071456	cellular response to hypoxia	0.02576772757943306	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:mah]"	137	23	4	21010	0.17391304347826086	0.029197080291970802	query_1	['GO:0001666', 'GO:0033554', 'GO:0036294']	1
GO:BP	GO:0048513	animal organ development	0.028344494856722174	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	3068	19	11	21010	0.5789473684210527	0.003585397653194263	query_1	['GO:0048856']	1
GO:BP	GO:0036293	response to decreased oxygen levels	0.028968081829944984	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	300	23	5	21010	0.21739130434782608	0.016666666666666666	query_1	['GO:0070482']	1
GO:BP	GO:0090199	regulation of release of cytochrome c from mitochondria	0.029222392069289997	True	"""Any process that modulates the rate, frequency or extent of release of cytochrome c from mitochondria, the process in which cytochrome c is enabled to move from the mitochondrial intermembrane space into the cytosol, which is an early step in apoptosis and leads to caspase activation."" [GOC:dph, GOC:mtg_apoptosis, GOC:tb]"	45	23	3	21010	0.13043478260869565	0.06666666666666667	query_1	['GO:0001836', 'GO:0010821']	1
GO:BP	GO:0032025	response to cobalt ion	0.034255905484613505	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cobalt ion stimulus."" [GOC:mah]"	10	14	2	21010	0.14285714285714285	0.2	query_1	['GO:0010038']	1
